datetime,exchange_code,stock_code,high,low,open,close,volume
2025-01-01 09:15:00,NSE,BOSLIM,34197.25,33856.5,33906.35,34177.55,554
2025-01-01 09:20:00,NSE,BOSLIM,34206.2,33960.05,34206.2,33975.4,241
2025-01-01 09:25:00,NSE,BOSLIM,34016.55,33921.05,33975.4,34016.55,242
2025-01-01 09:30:00,NSE,BOSLIM,34020.0,33980.0,34016.55,33980.0,67
2025-01-01 09:35:00,NSE,BOSLIM,33994.0,33959.9,33980.0,33994.0,73
2025-01-01 09:40:00,NSE,BOSLIM,33998.95,33932.05,33994.0,33932.05,109
2025-01-01 09:45:00,NSE,BOSLIM,33932.05,33857.2,33932.05,33869.1,174
2025-01-01 09:50:00,NSE,BOSLIM,33899.0,33858.15,33869.1,33899.0,97
2025-01-01 09:55:00,NSE,BOSLIM,33920.0,33821.55,33901.5,33920.0,67
2025-01-01 10:00:00,NSE,BOSLIM,33966.0,33875.0,33920.0,33918.3,72
2025-01-01 10:05:00,NSE,BOSLIM,33969.95,33918.3,33918.3,33937.35,19
2025-01-01 10:10:00,NSE,BOSLIM,34019.75,33937.25,33937.25,33971.75,37
2025-01-01 10:15:00,NSE,BOSLIM,34013.6,33958.7,33971.75,34008.3,187
2025-01-01 10:20:00,NSE,BOSLIM,34024.3,33980.0,34008.3,34024.3,56
2025-01-01 10:25:00,NSE,BOSLIM,34026.0,33957.95,34024.3,33964.05,81
2025-01-01 10:30:00,NSE,BOSLIM,33994.95,33950.0,33964.05,33955.1,77
2025-01-01 10:35:00,NSE,BOSLIM,34018.85,33955.1,33955.1,34018.85,61
2025-01-01 10:40:00,NSE,BOSLIM,34018.85,33960.0,34018.85,33993.9,31
2025-01-01 10:45:00,NSE,BOSLIM,34000.0,33950.15,33993.9,34000.0,35
2025-01-01 10:50:00,NSE,BOSLIM,34050.0,34000.0,34000.0,34026.35,39
2025-01-01 10:55:00,NSE,BOSLIM,34026.35,33992.75,34026.35,33992.75,22
2025-01-01 11:00:00,NSE,BOSLIM,33998.3,33951.75,33992.75,33951.75,7
2025-01-01 11:05:00,NSE,BOSLIM,33998.15,33958.65,33977.75,33998.15,34
2025-01-01 11:10:00,NSE,BOSLIM,34001.25,33950.65,33998.15,33983.2,28
2025-01-01 11:15:00,NSE,BOSLIM,34019.1,33979.6,33983.2,33983.1,44
2025-01-01 11:20:00,NSE,BOSLIM,34012.8,33981.8,33983.1,33992.45,10
2025-01-01 11:25:00,NSE,BOSLIM,34001.65,33943.85,33992.45,33950.8,13
2025-01-01 11:30:00,NSE,BOSLIM,33997.7,33950.8,33950.8,33963.85,21
2025-01-01 11:35:00,NSE,BOSLIM,33997.65,33963.85,33963.85,33969.35,11
2025-01-01 11:40:00,NSE,BOSLIM,34016.5,33969.35,33969.35,34016.5,8
2025-01-01 11:45:00,NSE,BOSLIM,34049.2,34003.1,34020.0,34035.1,22
2025-01-01 11:50:00,NSE,BOSLIM,34049.0,34026.45,34035.1,34038.3,15
2025-01-01 11:55:00,NSE,BOSLIM,34038.3,34024.0,34038.3,34034.8,17
2025-01-01 12:00:00,NSE,BOSLIM,34038.35,34010.0,34034.8,34038.35,16
2025-01-01 12:05:00,NSE,BOSLIM,34047.0,34011.05,34038.35,34047.0,8
2025-01-01 12:10:00,NSE,BOSLIM,34048.95,34047.0,34047.0,34048.95,2
2025-01-01 12:15:00,NSE,BOSLIM,34048.95,34030.0,34048.95,34030.0,11
2025-01-01 12:20:00,NSE,BOSLIM,34110.0,34030.0,34030.0,34100.0,262
2025-01-01 12:25:00,NSE,BOSLIM,34100.0,34002.15,34100.0,34002.15,78
2025-01-01 12:30:00,NSE,BOSLIM,34049.9,34002.15,34002.15,34014.75,15
2025-01-01 12:35:00,NSE,BOSLIM,34030.0,34003.0,34014.75,34030.0,42
2025-01-01 12:40:00,NSE,BOSLIM,34035.05,34002.0,34030.0,34015.0,50
2025-01-01 12:45:00,NSE,BOSLIM,34020.0,34010.2,34015.0,34019.95,14
2025-01-01 12:50:00,NSE,BOSLIM,34010.25,33880.0,34010.25,33907.3,197
