Symbol,Date,EntryTime,ExitTime,SignalType,TradeType,Open,High,Low,Close,Volume
360ONE,2025-03-10T09:15:00,09:15:00,2025-03-10T11:20:00,BUY,PUT,972,984,962.1,964.15,24282
360ONE,2025-05-28T09:15:00,09:15:00,2025-05-28T11:20:00,BUY,CALL,1009.8,1022.25,1009.3,1021.5,8379
360ONE,2025-07-25T09:15:00,09:15:00,2025-07-25T10:55:00,BUY,PUT,1119.7,1119.7,1105.1,1110.2,41672
360ONE,2025-08-14T09:15:00,09:15:00,2025-08-14T09:30:00,BUY,CALL,1028.1,1035.2,1023.1,1034.7,19929
360ONE,2025-11-04T09:15:00,09:15:00,2025-11-04T11:10:00,BUY,PUT,1099,1099.4,1083.1,1084.4,12928
360ONE,2025-11-11T09:15:00,09:15:00,2025-11-11T11:05:00,BUY,PUT,1073.1,1089.1,1062,1063.2,19555
360ONE,2025-11-14T09:15:00,09:15:00,2025-11-14T11:25:00,BUY,PUT,1087,1089.8,1075.7,1080.2,14022
ABB,2025-01-08T09:15:00,09:15:00,2025-01-08T11:10:00,BUY,PUT,6699.85,6717.95,6650.45,6660.25,5669
ABB,2025-02-12T09:15:00,09:15:00,2025-02-12T10:35:00,BUY,PUT,5423.05,5429,5381,5382.95,6201
ABB,2025-02-14T09:15:00,09:15:00,2025-02-14T11:10:00,BUY,PUT,5455.05,5495.95,5402.1,5402.1,7533
ABB,2025-02-27T09:15:00,09:15:00,2025-02-27T10:50:00,BUY,PUT,5301.85,5317.7,5233.55,5249.45,18632
ABB,2025-02-28T09:15:00,09:15:00,2025-02-28T10:15:00,BUY,PUT,5110,5119,5049,5053.2,27280
ABB,2025-03-10T09:15:00,09:15:00,2025-03-10T09:30:00,BUY,CALL,5330,5410.75,5326.65,5384.45,26593
ABB,2025-03-19T09:15:00,09:15:00,2025-03-19T09:20:00,BUY,CALL,5432.6,5459,5405.4,5455.65,23061
ABB,2025-04-30T09:15:00,09:15:00,2025-04-30T10:20:00,BUY,PUT,5586,5604,5495,5523,12607
ABB,2025-05-26T09:15:00,09:15:00,2025-05-26T10:35:00,BUY,CALL,5965.5,6025,5965.5,6019.5,13570
ABB,2025-05-27T09:15:00,09:15:00,2025-05-27T09:20:00,BUY,CALL,6000,6016.5,5977.5,6015.5,7198
ABB,2025-06-16T09:15:00,09:15:00,2025-06-16T09:30:00,BUY,CALL,6001,6038,5949,6032,4987
ABB,2025-07-07T09:15:00,09:15:00,2025-07-07T10:35:00,BUY,PUT,5862,5862,5824,5830,4836
ABB,2025-07-08T09:15:00,09:15:00,2025-07-08T09:50:00,BUY,CALL,5848.5,5882,5838.5,5880.5,6766
ABB,2025-08-20T09:15:00,09:15:00,2025-08-20T11:25:00,BUY,CALL,5084,5110,5078,5099.5,12489
ABB,2025-08-26T09:15:00,09:15:00,2025-08-26T10:35:00,BUY,PUT,5100.5,5109.5,5064.5,5068.5,4471
ABB,2025-09-10T09:15:00,09:15:00,2025-09-10T11:40:00,BUY,CALL,5129.8,5182,5121,5166,6889
ABB,2025-10-10T09:15:00,09:15:00,2025-10-10T10:20:00,BUY,CALL,5151,5189.5,5147.5,5184,6871
ABB,2025-11-11T09:15:00,09:15:00,2025-11-11T10:45:00,BUY,PUT,5021.5,5026.5,4960,4963.5,8376
ABB,2026-02-27T09:15:00,09:15:00,2026-02-27T10:30:00,BUY,PUT,6128,6128,6047,6063.5,12436
ABB,2026-04-24T09:15:00,09:15:00,2026-04-24T12:05:00,BUY,PUT,7575.5,7594,7350,7496,25817
ABB,2026-04-30T09:15:00,09:15:00,2026-04-30T11:05:00,BUY,PUT,7250,7250,7190.5,7190.5,12016
ABB,2026-05-04T09:15:00,09:15:00,2026-05-04T10:20:00,BUY,CALL,7269,7363,7229,7353,30497
ABB,2026-06-10T09:15:00,09:15:00,2026-06-10T10:20:00,BUY,PUT,6905.5,6951.5,6830.5,6844,10497
ABB,2026-06-25T09:15:00,09:15:00,2026-06-25T09:50:00,BUY,PUT,7040,7048,6969,7006,8917
ABCAPITAL,2025-02-21T09:15:00,09:15:00,2025-02-21T09:50:00,BUY,CALL,158.68,159.69,157.61,159.59,87757
ABCAPITAL,2025-04-17T09:15:00,09:15:00,2025-04-17T09:20:00,BUY,CALL,196.01,198.29,196,197.41,269045
ABCAPITAL,2025-05-29T09:15:00,09:15:00,2025-05-29T10:25:00,BUY,CALL,219.53,222.1,219.48,221.92,134663
ABCAPITAL,2025-06-03T09:15:00,09:15:00,2025-06-03T10:35:00,BUY,CALL,224.6,226.4,224.46,226.36,220470
ABCAPITAL,2025-06-10T09:15:00,09:15:00,2025-06-10T10:45:00,BUY,CALL,241.43,243,240.5,243,340663
ABCAPITAL,2025-09-02T09:15:00,09:15:00,2025-09-02T09:55:00,BUY,PUT,282,282.3,278.2,278.4,128568
ABCAPITAL,2025-09-05T09:15:00,09:15:00,2025-09-05T10:30:00,BUY,CALL,276,280.55,275.9,279.7,143363
ABCAPITAL,2025-09-16T09:15:00,09:15:00,2025-09-16T10:55:00,BUY,CALL,291,293.35,291,293,222556
ABCAPITAL,2025-10-15T09:15:00,09:15:00,2025-10-15T10:35:00,BUY,CALL,298,302.25,298,301.35,283523
ABCAPITAL,2025-11-11T09:15:00,09:15:00,2025-11-11T10:55:00,BUY,PUT,332.9,333.9,329.6,329.95,149178
ABCAPITAL,2025-11-18T09:15:00,09:15:00,2025-11-18T10:45:00,BUY,PUT,336,336.5,330.5,331.5,207320
ABCAPITAL,2026-05-27T09:15:00,09:15:00,2026-05-27T10:40:00,BUY,CALL,363.05,367,362.35,366.6,142983
ADANIENSOL,2025-02-21T09:15:00,09:15:00,2025-02-21T09:55:00,BUY,CALL,680.9,689.95,677,687.9,102281
ADANIENSOL,2025-03-19T09:15:00,09:15:00,2025-03-19T11:25:00,BUY,CALL,801.05,810.75,799.15,808.2,80821
ADANIENSOL,2025-05-22T09:15:00,09:15:00,2025-05-22T10:15:00,BUY,CALL,869,882.95,864.35,882,109308
ADANIENSOL,2025-07-10T09:15:00,09:15:00,2025-07-10T09:55:00,BUY,CALL,892.2,901.75,891.35,901.05,63129
ADANIENSOL,2025-10-09T09:15:00,09:15:00,2025-10-09T10:45:00,BUY,CALL,918,932.05,913.7,929.3,122967
ADANIENSOL,2025-10-28T09:15:00,09:15:00,2025-10-28T11:55:00,BUY,PUT,941,941.55,926.8,932.9,156841
ADANIENSOL,2026-02-12T09:15:00,09:15:00,2026-02-12T10:55:00,BUY,PUT,1030,1033.7,1021,1022.5,68688
ADANIENSOL,2026-03-13T09:15:00,09:15:00,2026-03-13T09:45:00,BUY,CALL,1008.1,1024.5,1006.4,1022.5,114987
ADANIENSOL,2026-03-25T09:15:00,09:15:00,2026-03-25T10:25:00,BUY,CALL,971.9,984.3,970.3,983.7,39791
ADANIENSOL,2026-06-18T09:15:00,09:15:00,2026-06-18T10:00:00,BUY,CALL,1493,1510.9,1493,1503.9,85834
